State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Uttar Pradesh,Sarnath,Sarnath Museum,Museum,1904,1.5,4.6,5.0,Yes,Monday,Houses the famous Lion Capital of Ashoka and Buddhist artifacts,No,0.05,Morning,India,http://googleusercontent.com/maps.google.com/up5,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Sarnath Main Market,Sarnath Famous Restaurant,October to March,Sarnath Special Cuisine,8.0,25.3795772,83.0234711,74.0,No,Non-Religious,10,0,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Sarnath,Top hotels near Sarnath Museum in Sarnath,"Taxi, Bus, Metro",Sarnath Metro Station,300,Tropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Sarnath Museum is a famous tourist attraction located in Sarnath.,4.6,0,11 AM - 4 PM,5,September - February,"Sarnath Museum is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Sarnath Museum?,Sarnath Museum,Sarnath Museum Sarnath में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Sarnath Museum,"Foodie, History, Museum, Popular",Afternoon,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b912"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b912"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-15/km"", ""Note"": ""2025 UP rates""}",₹20,₹10,₹15,₹6,₹30,₹12,₹30,₹12,₹20,₹10,₹12-15/km,2025 UP rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Uttarakhand,Kedarnath,Kedarnath Temple,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,March to June & September to November,India,Information not available,Jolly Grant Airport,Rishikesh Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.1,30.7346267,79.0668943,87.0,No,Religious Heritage,3,1,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Kedarnath,Top hotels near Kedarnath Temple in Kedarnath,"Taxi, Bus, Metro",Kedarnath Metro Station,300,Temperate,"Sunglasses, cap, sunscreen, portable charger",60,180,Kedarnath Temple is a famous tourist attraction located in Kedarnath.,4.7,0,10 AM - 1 PM,5,September - February,"Kedarnath Temple is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Kedarnath Temple?,Kedarnath Temple,Kedarnath Temple Kedarnath में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Kedarnath Temple,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""₹20"", ""Auto_PerKm"": ""₹10"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹8"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹15-22/km"", ""Note"": ""2025 Uttarakhand rates""}",₹20,₹10,₹20,₹8,,,,,,,₹15-22/km,2025 Uttarakhand rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Sikkim,Lachung,Zero Point Sikkim,Hilltop,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,October to April,India,Information not available,Pakyong Airport,New Jalpaiguri Junction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.1,27.9305392,88.73455829999999,87.0,Unknown,Unknown,100,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Lachung,Top hotels near Zero Point Sikkim in Lachung,"Taxi, Bus, Metro",Lachung Metro Station,300,Tropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Zero Point Sikkim is a famous tourist attraction located in Lachung.,4.5,0,11 AM - 4 PM,5,September - February,"Zero Point Sikkim is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Zero Point Sikkim?,Zero Point Sikkim,Zero Point Sikkim Lachung में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Zero Point Sikkim,"Nature, Popular",Any Time,"{""Auto_Min"": ""₹20-30"", ""Auto_PerKm"": ""₹10-15"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹7"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹14-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,,,,,,,₹14-18/km,Estimated 2025 Indian rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Ladakh,Leh,Hemis Monastery,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,May to September,India,Information not available,Kushok Bakula Rimpochee Airport,Leh Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,High,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.6,33.9125964,77.7029689,94.0,No,Religious Heritage,3,1,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Leh,Top hotels near Hemis Monastery in Leh,"Taxi, Bus, Metro",Leh Metro Station,300,Tropical,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Hemis Monastery is a famous tourist attraction located in Leh.,4.7,0,11 AM - 4 PM,5,September - February,"Hemis Monastery is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Hemis Monastery?,Hemis Monastery,Hemis Monastery Leh में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Hemis Monastery,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""₹20-30"", ""Auto_PerKm"": ""₹10-15"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹7"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹14-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,,,,,,,₹14-18/km,Estimated 2025 Indian rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Uttar Pradesh,Varanasi,Dashashwamedh Ghat,Landmark,Unknown,1.5,4.8,0.0,Yes,Open All Days,"Main and most spectacular ghat in Varanasi, famous for the Ganga Aarti",Yes,0.8,Evening,India,http://googleusercontent.com/maps.google.com/up3,Lal Bahadur Shastri International Airport,Varanasi Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Vishwanath Gali,Kashi Chat Bhandar,October to March,Varanasi Special Cuisine,8.0,25.31,83.0,77.0,No,Non-Religious,2,0,5.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Varanasi,Top hotels near Dashashwamedh Ghat in Varanasi,"Taxi, Bus, Metro",Varanasi Metro Station,300,Temperate,"Light cotton clothes, hat, sunscreen, camera",60,180,Dashashwamedh Ghat is a famous tourist attraction located in Varanasi.,4.8,0,11 AM - 4 PM,5,October - March,"Dashashwamedh Ghat is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Dashashwamedh Ghat?,Dashashwamedh Ghat,Dashashwamedh Ghat Varanasi में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Dashashwamedh Ghat,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b912"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b912"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-15/km"", ""Note"": ""2025 UP rates""}",₹20,₹10,₹15,₹6,₹30,₹12,₹30,₹12,₹20,₹10,₹12-15/km,2025 UP rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Rajasthan,Kota,Chambal Riverfront,Riverfront,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,October to March,India,Information not available,Jaipur International Airport,Kota Junction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,8.0,25.1938315,75.84779189999999,80.0,Unknown,Unknown,104,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Kota,Top hotels near Chambal Riverfront in Kota,"Taxi, Bus, Metro",Kota Metro Station,300,Tropical,"Sunglasses, cap, sunscreen, portable charger",60,180,Chambal Riverfront is a famous tourist attraction located in Kota.,4.5,0,5 PM - 9 PM,5,November - February,"Chambal Riverfront is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Chambal Riverfront?,Chambal Riverfront,Chambal Riverfront Kota में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Chambal Riverfront,Popular,Any Time,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b912"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b913"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-16/km"", ""Note"": ""2025 Rajasthan rates""}",₹20,₹10,₹15,₹7,₹30,₹12,₹30,₹13,₹20,₹10,₹12-16/km,2025 Rajasthan rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Tamil Nadu,Mahabalipuram,Shore Temple,Heritage Site,Unknown,2.0,4.5,60.0,Unknown,Unknown,Unknown,Unknown,0.095,October to March,India,Information not available,Chennai International Airport,Chengalpattu Junction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.0,12.6164515,80.19933209999999,85.0,Unknown,Unknown,105,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Mahabalipuram,Top hotels near Shore Temple in Mahabalipuram,"Taxi, Bus, Metro",Mahabalipuram Metro Station,300,Coastal Tropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Shore Temple is a famous tourist attraction located in Mahabalipuram.,4.5,0,10 AM - 1 PM,5,October - March,"Shore Temple is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Shore Temple?,Shore Temple,Shore Temple Mahabalipuram में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Shore Temple,"History, Popular",Morning / Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Haryana,Narnaul,Chor Gumbad,Monument,Unknown,1.0,4.5,40.0,Yes,Open All Days,Historical,Yes,0.45,October to March,India,Information not available,Indira Gandhi International Airport,Narnaul Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Bademiya,October to March,Mumbai Special Cuisine,8.3,28.0570872,76.10303669999999,75.0,Yes,Non-Religious,27,0,8.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Narnaul,Top hotels near Chor Gumbad in Narnaul,"Taxi, Bus, Metro",Narnaul Metro Station,300,Temperate,"Comfortable shoes, light jacket, water bottle",60,180,Chor Gumbad is a famous tourist attraction located in Narnaul.,4.5,0,5 PM - 9 PM,5,October - March,"Chor Gumbad is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Chor Gumbad?,Chor Gumbad,Chor Gumbad Narnaul में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Chor Gumbad,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""₹20-30"", ""Auto_PerKm"": ""₹10-15"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹7"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹14-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,,,,,,,₹14-18/km,Estimated 2025 Indian rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Punjab,Kapurthala,Elysee Palace Kapurthala,Palace,Unknown,1.5,4.4,120.0,Yes,Open All Days,Historical,Yes,0.12,October to March,India,Information not available,Sri Guru Ram Dass Jee International Airport,Kapurthala Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Johari Bazaar, Bapu Bazaar, Tripolia Bazaar",Ambrai,October to March,Jaipur Special Cuisine,8.5,31.3740649,75.3919277,80.0,No,Non-Religious,36,0,4.8,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Kapurthala,Top hotels near Elysee Palace Kapurthala in Kapurthala,"Taxi, Bus, Metro",Kapurthala Metro Station,300,Coastal Tropical,"Comfortable shoes, light jacket, water bottle",60,180,Elysee Palace Kapurthala is a famous tourist attraction located in Kapurthala.,4.4,0,5 PM - 9 PM,5,October - March,"Elysee Palace Kapurthala is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Elysee Palace Kapurthala?,Elysee Palace Kapurthala,Elysee Palace Kapurthala Kapurthala में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Elysee Palace Kapurthala,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""₹20"", ""Auto_PerKm"": ""₹10"", ""Rapido_Bike_Min"": ""₹15"", ""Rapido_Bike_PerKm"": ""₹6"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹12-16/km"", ""Note"": ""2025 Punjab rates""}",₹20,₹10,₹15,₹6,,,,,,,₹12-16/km,2025 Punjab rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150.0,Yes,Open All Days,Entertainment,Yes,0.45,All,India,https://www.google.com/maps/search/?api=1&query=Ramoji%20Film%20City%2C%20Hyderabad%2C%20Telangana%2C%20India,Rajiv Gandhi International Airport,Hyderabad Deccan,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,"Laad Bazaar, Begum Bazaar, Shilparamam",Shah Ghouse,October to March,Hyderabad Special Cuisine,8.0,17.385,78.4867,70.0,Yes,Non-Religious,67,0,8.8,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Hyderabad,Top hotels near Ramoji Film City in Hyderabad,"Taxi, Bus, Metro",Hyderabad Metro Station,300,Coastal Tropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Ramoji Film City is a famous tourist attraction located in Hyderabad.,4.4,0,10 AM - 1 PM,5,November - February,"Ramoji Film City is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Ramoji Film City?,Ramoji Film City,Ramoji Film City Hyderabad में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Ramoji Film City,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b915"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-18/km"", ""Note"": ""2025 Hyderabad rates""}",₹25,₹14,₹20,₹7,₹35,₹15,₹35,₹16,₹25,₹14,₹15-18/km,2025 Hyderabad rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Punjab,Rupnagar,Ropar Wetland,Natural Feature,1952,2.0,4.3,0.0,Yes,Open All Days,Ecological zone popular for birdwatching and scenic boat rides,Yes,0.03,Morning,India,http://googleusercontent.com/maps.google.com/pb25,Chandigarh International Airport,Rupnagar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Rupnagar Main Market,Rupnagar Famous Restaurant,October to March,Rupnagar Special Cuisine,8.0,31.02,76.5,69.0,No,Non-Religious,0,0,4.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Rupnagar,Top hotels near Ropar Wetland in Rupnagar,"Taxi, Bus, Metro",Rupnagar Metro Station,300,Temperate,"Light cotton clothes, hat, sunscreen, camera",60,180,Ropar Wetland is a famous tourist attraction located in Rupnagar.,4.3,0,11 AM - 4 PM,5,October - March,"Ropar Wetland is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Ropar Wetland?,Ropar Wetland,Ropar Wetland Rupnagar में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Ropar Wetland,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""₹20"", ""Auto_PerKm"": ""₹10"", ""Rapido_Bike_Min"": ""₹15"", ""Rapido_Bike_PerKm"": ""₹6"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹12-16/km"", ""Note"": ""2025 Punjab rates""}",₹20,₹10,₹15,₹6,,,,,,,₹12-16/km,2025 Punjab rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Ladakh,Nubra Valley,Hunder Sand Dunes,Natural Feature,Ancient,2.0,4.7,0.0,No,Open All Days,Cold desert dunes famous for double-humped Bactrian camels,Yes,0.1,Evening,India,http://googleusercontent.com/maps.google.com/la32,Kushok Bakula Rimpochee Airport,Leh Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Leh Market,Tibetan Kitchen,October to March,Nubra Valley Special Cuisine,8.0,34.6242682,77.4374751,75.0,No,Non-Religious,0,0,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Nubra Valley,Top hotels near Hunder Sand Dunes in Nubra Valley,"Taxi, Bus, Metro",Nubra Valley Metro Station,300,Tropical,"Sunglasses, cap, sunscreen, portable charger",60,180,Hunder Sand Dunes is a famous tourist attraction located in Nubra Valley.,4.7,0,10 AM - 1 PM,5,October - March,"Hunder Sand Dunes is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Hunder Sand Dunes?,Hunder Sand Dunes,Hunder Sand Dunes Nubra Valley में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Hunder Sand Dunes,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""₹20-30"", ""Auto_PerKm"": ""₹10-15"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹7"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹14-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,,,,,,,₹14-18/km,Estimated 2025 Indian rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Meghalaya,Cherrapunji,Arwah Cave,Cave,Unknown,1.5,4.6,20.0,No,Open All Days,Caves known for fossils and stalactite formations,Yes,0.02,Morning,India,http://googleusercontent.com/maps.google.com/ml9,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Cherrapunji Main Market,Cherrapunji Famous Restaurant,October to March,Cherrapunji Special Cuisine,8.0,25.298561,91.7263686,74.0,No,Non-Religious,7,0,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Cherrapunji,Top hotels near Arwah Cave in Cherrapunji,"Taxi, Bus, Metro",Cherrapunji Metro Station,300,Temperate,"Light cotton clothes, hat, sunscreen, camera",60,180,Arwah Cave is a famous tourist attraction located in Cherrapunji.,4.6,0,10 AM - 1 PM,5,October - March,"Arwah Cave is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Arwah Cave?,Arwah Cave,Arwah Cave Cherrapunji में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Arwah Cave,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""₹20-30"", ""Auto_PerKm"": ""₹10-15"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹7"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹14-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,,,,,,,₹14-18/km,Estimated 2025 Indian rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
